question_id,company_id,abstraction_level,naive_precision,naive_recall,naive_faithfulness,naive_relevance,raptor_precision,raptor_recall,raptor_faithfulness,raptor_relevance
Q_FACTUAL_ZETA_001,ZETA,Factual,5,5,5,5,5,4,5,5
Q_FACTUAL_ZETA_002,ZETA,Factual,5,4,5,5,5,4,5,1
Q_FACTUAL_ZETA_003,ZETA,Factual,5,5,5,5,5,5,5,5
Q_FACTUAL_ZETA_004,ZETA,Factual,5,4,5,5,5,5,5,5
Q_FACTUAL_ZETA_005,ZETA,Factual,2,3,5,1,2,1,5,1
Q_CONCEPTUAL_ZETA_001,ZETA,Conceptual,5,4,5,4,5,4,5,5
Q_CONCEPTUAL_ZETA_002,ZETA,Conceptual,5,4,5,5,5,4,5,5
Q_CONCEPTUAL_ZETA_003,ZETA,Conceptual,5,4,5,1,5,4,5,1
Q_CONCEPTUAL_ZETA_004,ZETA,Conceptual,5,5,5,5,5,5,5,5
Q_CONCEPTUAL_ZETA_005,ZETA,Conceptual,5,4,5,5,5,4,5,3
Q_STRATEGIC_ZETA_001,ZETA,Strategic,5,4,5,5,5,4,5,5
Q_STRATEGIC_ZETA_002,ZETA,Strategic,5,4,5,5,5,4,5,5
Q_STRATEGIC_ZETA_003,ZETA,Strategic,5,4,5,5,2,1,5,1
Q_STRATEGIC_ZETA_004,ZETA,Strategic,4,3,5,2,5,4,5,5
Q_STRATEGIC_ZETA_005,ZETA,Strategic,5,4,5,5,2,3,5,1
Q_FACTUAL_HAVA_001,HAVA,Factual,1,5,5,5,2,1,5,1
Q_FACTUAL_HAVA_002,HAVA,Factual,5,4,5,5,2,1,5,4
Q_FACTUAL_HAVA_003,HAVA,Factual,2,1,5,1,5,4,5,1
Q_FACTUAL_HAVA_004,HAVA,Factual,5,5,5,5,2,5,5,5
Q_FACTUAL_HAVA_005,HAVA,Factual,5,1,5,4,5,4,5,5
Q_CONCEPTUAL_HAVA_001,HAVA,Conceptual,5,1,5,1,5,4,5,5
Q_CONCEPTUAL_HAVA_002,HAVA,Conceptual,4,5,5,1,2,1,5,1
Q_CONCEPTUAL_HAVA_003,HAVA,Conceptual,2,1,5,1,5,4,5,1
Q_CONCEPTUAL_HAVA_004,HAVA,Conceptual,2,1,5,1,2,3,5,1
Q_CONCEPTUAL_HAVA_005,HAVA,Conceptual,2,3,5,1,5,4,5,1
Q_STRATEGIC_HAVA_001,HAVA,Strategic,2,1,5,1,5,4,5,1
Q_STRATEGIC_HAVA_002,HAVA,Strategic,2,1,5,1,2,1,5,1
Q_STRATEGIC_HAVA_003,HAVA,Strategic,2,1,5,1,2,1,5,1
Q_STRATEGIC_HAVA_004,HAVA,Strategic,2,1,5,1,4,2,5,5
Q_STRATEGIC_HAVA_005,HAVA,Strategic,5,2,5,1,2,3,5,1
